"Scientific name","New","Common name","Clade","Taxon ID","Assembly name","Accession","Genome size (bps)","Annotation provider","Annotation","Genome","RNA Seq"
"Culex quinquefasciatus","","Southern house mosquito (JHB)","Arthropods","7176","VPISU_Cqui_1.0_pri_paternal","GCA_015732765.1","573,230,032","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Culter alburnus","","Topmouth culter","Fish","194366","ASM986977v1","GCA_009869775.1","1,017,706,352","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cyclopterus lumpus","","Lumpfish","Fish","8103","fCycLum1.pri","GCA_009769545.1","572,885,595","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cydia splendana","","Moths","Lepidoptera","1100963","ilCydSple1.1","GCA_910591565.1","630,601,649","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cydia splendana","","Moths","Lepidoptera","1100963","ilCydSple1.1_alternate_haplotype","GCA_910591525.1","559,810,836","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cygnus atratus","","Black swan","Birds","8868","Cygnus_atratus_primary_v1.0","GCA_013377495.1","1,122,262,644","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cygnus olor","","Mute swan","Birds","8869","bCygOlo1.pri.v2","GCA_009769625.2","1,134,186,642","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Cyprinus carpio carpio","","Common carp","Fish","630221","Cypcar_WagV4.0","GCA_905221575.1","1,460,365,368","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Daubentonia madagascariensis","","Aye-aye","Mammals","31869","DauMad_v1_BIUU","GCA_004027145.1","2,498,418,007","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Delphinapterus leucas","","Beluga whale (Bristol Bay)","Mammals","9749","GSC_bbay_1.0","GCA_009917725.1","2,422,274,619","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Delphinapterus leucas","","Beluga whale (Cook Inlet)","Mammals","9749","GSC_cook_1.0","GCA_009917745.1","2,389,893,305","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Dendroctonus ponderosae","","Mountain pine beetle","Arthropods","77166","DendPond_male_1.0","GCA_000355655.1","252,847,629","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Dendronephthya gigantea","","Carnation coral (DGI-Jeju-01)","Metazoa","151771","DenGig_1.0","GCA_004324835.1","286,150,628","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Denticeps clupeoides","","Denticle herring","Fish","299321","fDenClu1.1","GCA_900700375.1","567,401,054","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Denticeps clupeoides","","Denticle herring","Fish","299321","fDenClu1.2","GCA_900700375.2","567,401,054","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Dermacentor silvarum","","Ticks (Dsil-2018)","Arthropods","543639","GCA013339745v1","GCA_013339745.1","2,474,308,340","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Dermatophagoides pteronyssinus","","European house dust mite (airmid)","Arthropods","6956","GCA001901225v2","GCA_001901225.2","70,778,228","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Desmodus rotundus","","Common vampire bat","Mammals","9430","ASM294091v1","GCA_002940915.1","2,079,315,015","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Diabrotica virgifera virgifera","","Western corn rootworm (Ped12-6-A-3)","Arthropods","50390","Dvir_v2.0","GCA_003013835.2","2,418,073,815","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Dicentrarchus labrax","","European seabass","Fish","13489","dlabrax2021","GCA_905237075.1","695,892,153","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Digitaria exilis","","Monocots (digitaria_exilis)","Plants","1010633","Fonio_CM05836","GCA_902859565.1","716,471,022","KAUST","FASTA/GTF/GFF3/TSV","FASTA",""
"Diuraphis noxia","","Russian wheat aphid (RWA2)","Arthropods","143948","Dnoxia_1.0","GCA_001186385.1","395,073,589","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Dolichovespula media","","Median wasp","Arthropods","881891","iyDolMedi1.1","GCA_911387685.1","247,580,636","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Drosophila melanogaster","","Fruit fly","Arthropods","7227","BDGP6.32","GCA_000001215.4","143,726,002","FlyBase","FASTA/GTF/GFF3/TSV","FASTA",""
"Echeneis naucrates","","Live sharksucker","Fish","173247","fEcheNa1.1","GCA_900963305.1","544,212,633","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ectemnius continuus","","Bees","Arthropods","1126389","iyEctCont1.1","GCA_910591665.1","260,337,310","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ectemnius lituratus","","Bees","Arthropods","2495015","iyEctLitu1.1","GCA_910593735.1","235,157,002","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Electrophorus electricus","","Electric eel","Fish","8005","fEleEle1.pri","GCA_013358815.1","589,358,956","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Emmelina monodactyla","","Morning-glory plume moth","Lepidoptera","467774","ilEmmMono1.1_alternate_haplotype","GCA_916618085.1","237,004,325","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Emmelina monodactyla","","Morning-glory plume moth","Lepidoptera","467774","ilEmmMono1.1","GCA_916618145.1","312,395,474","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Enhydra lutris kenyoni","","Sea otter","Mammals","391180","ASM228890v2","GCA_002288905.2","2,455,276,666","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ennomos fuscantarius","","Dusky thorn","Lepidoptera","722662","ilEnnFusc2.1","GCA_905220475.1","444,910,036","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ennomos fuscantarius","","Dusky thorn","Lepidoptera","722662","ilEnnFusc2.1_alternate_haplotype","GCA_905220485.1","376,766,614","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ennomos quercinarius","","Moths","Lepidoptera","875883","ilEnnQuei1.1_alternate_haplotype","GCA_910589225.1","486,358,859","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ennomos quercinarius","","Moths","Lepidoptera","875883","ilEnnQuei1.1","GCA_910589525.1","491,868,579","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis arbustorum","NEW","Flies","Arthropods","1124515","idEriArbu1.1","GCA_916610145.1","451,027,004","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis arbustorum","NEW","Flies","Arthropods","1124515","idEriArbu1.1_alternate_haplotype","GCA_916610155.1","417,549,593","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis pertinax","NEW","Flies","Arthropods","1572519","idEriPert2.1_alternate_haplotype","GCA_907269085.1","465,923,089","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis pertinax","NEW","Flies","Arthropods","1572519","idEriPert2.1","GCA_907269125.1","482,075,123","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis tenax","NEW","Drone fly","Arthropods","198635","idEriTena2.1_alternate_haplotype","GCA_905231845.1","504,353,716","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eristalis tenax","NEW","Drone fly","Arthropods","198635","idEriTena2.1","GCA_905231855.1","487,002,646","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Erpetoichthys calabaricus","","Reedfish","Fish","27687","fErpCal1.1","GCA_900747795.2","3,811,022,027","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eudyptes chrysocome","","Rockhopper penguin","Birds","79626","BGI_Echrysoc.V1","GCA_010085355.1","1,231,062,710","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eudyptes filholi","","Southern rockhopper penguin","Birds","1419345","BGI_Echrysoc_fil.V1","GCA_010085365.1","1,223,976,468","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eudyptes moseleyi","","Northern rockhopper penguin","Birds","2495534","BGI_Emos.V1","GCA_010082375.1","1,301,647,863","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eudyptes pachyrhynchus","","Fiordland penguin","Birds","37080","BGI_Epac.V1","GCA_010085335.1","1,295,505,775","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eudyptes robustus","","Snares penguin","Birds","345251","BGI_Erob.V1","GCA_010085315.1","1,241,676,055","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eudyptes sclateri","","Erect-crested penguin","Birds","92688","BGI_Escl.V1","GCA_010078445.1","1,211,402,317","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Eumetopias jubatus","","Steller sea lion","Mammals","34886","ASM402803v1","GCA_004028035.1","2,418,263,165","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eupeodes latifasciatus","NEW","Flies","Arthropods","1124558","idEupLati1.1","GCA_920104205.1","846,338,106","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Eupeodes latifasciatus","NEW","Flies","Arthropods","1124558","idEupLati1.1_alternate_haplotype","GCA_920104105.1","784,924,569","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Euproctis similis","","Moths","Lepidoptera","987935","ilEupSimi1.1","GCA_905147225.1","507,633,075","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Fabriciana adippe","","High brown fritillary","Lepidoptera","405009","ilFabAdip1.1","GCA_905404265.1","484,811,369","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Fabriciana adippe","","High brown fritillary","Lepidoptera","405009","ilFabAdip1.1_alternate_haplotype","GCA_905404255.1","452,203,855","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Falco cherrug","","Saker falcon","Birds","345164","F_cherrug_v1.0","GCA_000337975.1","1,174,811,715","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Falco peregrinus","","Peregrine falcon","Birds","8954","Fperegrinus_1.0","GCA_012488915.1","1,183,345,687","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Falco tinnunculus","","Common kestrel","Birds","100819","FalTin1.0","GCA_010332995.1","1,179,901,403","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Felis catus","","Domestic cat (American shorthair)","Mammals","9685","ASM1334086v1","GCA_013340865.1","2,493,141,643","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Felis catus x Leopardis geoffroyi","","Asian leopard cat","Mammals","2796247","F.catus_Fca126_mat1.0","GCA_018350175.1","2,425,730,029","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Felis catus x Leopardis geoffroyi","","Geoffroyi cat","Mammals","2796247","O.geoffroyi_Oge1_pat1.0","GCA_018350155.1","2,426,370,816","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Felis catus x Prionailurus bengalensis","","Bengal (Bengal)","Mammals","2782171","Fcat_Pben_1.0_paternal_pri","GCA_016509475.1","2,435,702,060","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ficedula albicollis","","Collared flycatcher","Birds","59894","FicAlb1.5","GCA_000247815.2","1,118,343,587","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gadus morhua","","Atlantic cod","Fish","8049","gadMor3.0","GCA_902167405.1","669,949,713","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gallus gallus","","Chicken","Birds","9031","GRCg6a","GCA_000002315.5","1,065,365,425","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Gallus gallus","NEW","Chicken (White leghorn layer)","Birds","9031","bGalGal1.pat.whiteleghornlayer.GRCg7w","GCA_016700215.2","1,048,336,660","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gallus gallus","NEW","Chicken","Birds","9031","bGalGal1.mat.broiler.GRCg7b","GCA_016699485.1","1,053,332,251","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gasterosteus aculeatus","","Three-spined stickleback (marine)","Fish","69293","SYL","GCA_006232285.1","431,811,987","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gasterosteus aculeatus","","Three-spined stickleback (freshwater)","Fish","69293","BOT","GCA_006229185.1","427,295,814","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gasterosteus aculeatus","","Three-spined stickleback (marine)","Fish","69293","BAM","GCA_006232265.1","445,644,378","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gigantopelta aegis","","Deep sea snail (Gae_Host)","Metazoa","1735272","Gae_host_genome","GCA_016097555.1","1,149,605,642","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Globicephala melas","","Long-finned pilot whale","Mammals","9731","ASM654740v1","GCA_006547405.1","2,333,870,982","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Gopherus evgoodei","","Goodes thornscrub tortoise","Reptiles","1825980","rGopEvg1_v1.p","GCA_007399415.1","2,298,547,364","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gouania willdenowi","","Blunt-snouted clingfish","Fish","441366","fGouWil2.1","GCA_900634775.1","937,150,793","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gymnodraco acuticeps","","Ploughfish","Fish","8218","fGymAcu1.1","GCA_902827175.1","996,888,495","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gymnosoma rotundatum","NEW","Flies","Arthropods","569046","idGymRotn1.1_alternate_haplotype","GCA_916610175.1","728,837,805","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Gymnosoma rotundatum","NEW","Flies","Arthropods","569046","idGymRotn1.1","GCA_916610165.1","780,496,486","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Haemaphysalis longicornis","","Longhorned tick (HaeL-2018)","Arthropods","44386","GCA013339765v1","GCA_013339765.1","2,554,970,390","TIGMIC Group, Beijing Institute of Microbiology and Epidemiology","FASTA/GTF/GFF3/TSV","FASTA",""
"Harpagifer antarcticus","","Antarctic spiny plunderfish","Fish","43256","fHarAnt1.1","GCA_902827135.1","941,503,312","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hecatera dysodea","","Moths","Lepidoptera","988125","ilHecDyso1.1","GCA_905332915.1","640,896,252","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hedya salicella","","Moths","Lepidoptera","1869985","ilHedSali1.1","GCA_905404275.1","742,375,031","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hedya salicella","","Moths","Lepidoptera","1869985","ilHedSali1.1_alternate_haplotype","GCA_905404235.1","722,634,899","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hemaris fuciformis","","Moths","Lepidoptera","987953","iHemFuc1.1_alternate_haplotype","GCA_907164865.1","392,415,368","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hemaris fuciformis","","Moths","Lepidoptera","987953","iHemFuc1.1","GCA_907164795.1","448,837,683","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hermetia illucens","","Black soldier fly","Arthropods","343691","GCA905115235v1","GCA_905115235.1","1,004,948,288","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Hippopotamus amphibius","","Hippopotamus","Mammals","9833","HipAmp_v2_BIUU_UCD","GCA_004027065.2","2,733,493,772","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Hipposideros armiger","","Great roundleaf bat","Mammals","186990","ASM189008v1","GCA_001890085.1","2,236,581,172","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hipposideros galeritus","","Cantor's roundleaf bat","Mammals","58069","HipGal_v1_BIUU","GCA_004027415.1","2,440,750,851","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hirundo rustica","","Barn swallow","Birds","43150","bHirRus1.pri","GCA_015227805.1","1,104,070,652","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Hyalomma asiaticum","","Ticks (Hyas-2018)","Arthropods","266040","GCA013339685v1","GCA_013339685.1","1,713,631,380","TIGMIC Group, Beijing Institute of Microbiology and Epidemiology","FASTA/GTF/GFF3/TSV","FASTA",""
"Hydra vulgaris","","Swiftwater hydra (105)","Metazoa","6087","GCA000004095v1","GCA_000004095.1","852,170,992","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Hyles vespertilio","NEW","Moths","Lepidoptera","283848","ASM998288v1","GCA_009982885.1","651,398,004","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hylobates moloch","","Silvery gibbon","Mammals","81572","HMol_V2","GCA_009828535.2","2,848,329,432","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Hypena proboscidalis","","Moths","Lepidoptera","753189","ilHypProb1.1_alternate_haplotype","GCA_905147305.1","598,700,299","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Hypena proboscidalis","","Moths","Lepidoptera","753189","ilHypProb1.1","GCA_905147285.1","636,770,889","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ichneumon xanthorius","","Wasps, ants, and bees","Arthropods","2795680","iyIchXant1.1","GCA_917499995.1","314,972,371","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Idaea aversata","","Riband wave","Lepidoptera","104447","ilIdaAver1.1","GCA_907269075.1","436,713,420","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Idaea aversata","","Riband wave","Lepidoptera","104447","ilIdaAver1.1_alternate_haplotype","GCA_907269045.1","433,907,406","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Inachis io","","European peacock","Lepidoptera","171585","ilAglIoxx1.1_alternate_haplotype","GCA_905147125.1","381,505,224","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Inachis io","","European peacock","Lepidoptera","171585","ilAglIoxx1.1","GCA_905147045.1","384,156,914","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Ixodes persulcatus","","Taiga tick (Iper-2018)","Arthropods","34615","BIME_Iper_1.3","GCA_013358835.1","1,901,640,799","TIGMIC Group, Beijing Institute of Microbiology and Epidemiology","FASTA/GTF/GFF3/TSV","FASTA",""
"Ixodes scapularis","","Black-legged tick (PalLabHiFi)","Arthropods","6945","GCA016920785v2","GCA_016920785.2","2,226,883,318","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Labeo catla","","Catla","Fish","72446","CIFA_Catla_1.0","GCA_012976165.1","1,019,782,285","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Lacerta agilis","","Lizards","Reptiles","80427","rLacAgi1.pri","GCA_009819535.1","1,391,404,169","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Lagenorhynchus obliquidens","","Pacific white-sided dolphin","Mammals","90247","ASM367639v1","GCA_003676395.1","2,334,467,171","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Laspeyria flexula","","Moths","Lepidoptera","938238","ilLasFlex1.1","GCA_905147015.1","450,881,683","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Laspeyria flexula","","Moths","Lepidoptera","938238","ilLasFlex1.1_alternate_haplotype","GCA_905147035.1","442,945,434","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lemur catta","","Ring-tailed lemur","Mammals","9447","LemCat_v1_BIUU","GCA_004024665.1","2,298,449,872","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Leptidea sinapis","","Butterflies","Lepidoptera","189913","ilLepSina1.1","GCA_905404315.1","685,583,065","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Leptidea sinapis","","Butterflies","Lepidoptera","189913","ilLepSina1.1_alternate_haplotype","GCA_905404105.1","674,498,414","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Leptinotarsa decemlineata","","Colorado potato beetle (Imidocloprid resistant)","Arthropods","7539","Ldec_2.0","GCA_000500325.2","641,992,784","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Leptobrachium leishanense","","Leishan spiny toad","Amphibians","445787","ASM966780v1","GCA_009667805.1","3,549,060,464","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Limenitis camilla","","Butterflies","Lepidoptera","270466","ilLimCami1.1_alternate_haplotype","GCA_905147315.1","396,065,961","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Limenitis camilla","","Butterflies","Lepidoptera","270466","ilLimCami1.1","GCA_905147385.1","435,097,539","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Limulus polyphemus","","Atlantic horseshoe crab","Arthropods","6850","Limulus_polyphemus_2.1.2","GCA_000517525.1","1,828,271,751","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Lycaena phlaeas","","Common copper","Lepidoptera","282391","ilLycPhla1.1_alternate_haplotype","GCA_905333065.1","403,619,318","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lycaena phlaeas","","Common copper","Lepidoptera","282391","ilLycPhla1.1","GCA_905333005.1","420,468,287","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lynx canadensis","","Canada lynx","Mammals","61383","mLynCan4_v1.p","GCA_007474595.1","2,408,883,772","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lysandra bellargus","","Adonis blue","Lepidoptera","138070","ilLysBell1.1_alternate_haplotype","GCA_905332955.1","497,064,181","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lysandra bellargus","","Adonis blue","Lepidoptera","138070","ilLysBell1.1","GCA_905333045.1","528,918,181","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lysandra coridon","","Butterflies","Lepidoptera","268709","ilLysCori1.1_alternate_haplotype","GCA_905220525.1","524,608,667","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lysandra coridon","","Butterflies","Lepidoptera","268709","ilLysCori1.1","GCA_905220515.1","540,719,330","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Lytechinus variegatus","","Green sea urchin (NC3)","Metazoa","7654","Lvar_3.0","GCA_018143015.1","869,598,128","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Macaca fascicularis","","Crab-eating macaque","Mammals","9541","mfascicularis_v7_phased","GCA_903645265.1","2,552,369,852","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Macaca fascicularis","","Crab-eating macaque","Mammals","9541","Macaca_fascicularis_6.0","GCA_011100615.1","2,906,138,557","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Macaca fascicularis","","Crab-eating macaque","Mammals","9541","mfascicularis_v7_phased1","GCA_903645275.1","2,507,202,731","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Macropis europaea","","Bees","Arthropods","253715","iyMacEuro1.1","GCA_916610135.1","541,821,749","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Malurus cyaneus samueli","","Superb fairywren","Birds","2593467","mCya_1.0","GCA_009741485.1","1,078,874,851","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Mamestra brassicae","","Cabbage moth","Lepidoptera","55057","ilMamBras1.1","GCA_905163435.1","576,168,760","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Maniola hyperantus","","Ringlet","Lepidoptera","2795564","iAphHyp1.2","GCA_902806685.2","408,137,179","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Maniola jurtina","","Meadow brown","Lepidoptera","191418","ilManJurt1.1","GCA_905333055.1","402,038,846","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Maniola jurtina","","Meadow brown","Lepidoptera","191418","ilManJurt1.1_alternate_haplotype","GCA_905333105.1","374,714,435","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Manis javanica","","Malayan pangolin","Mammals","9974","ManJav1.0","GCA_001685135.1","2,547,395,906","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Marmota flaviventris","","Yellow-bellied marmot","Mammals","93162","GSC_YBM_2.0","GCA_003676075.2","2,581,339,348","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Marmota himalayana","","Himalayan marmot","Mammals","93163","ASM528016v1","GCA_005280165.1","2,471,704,417","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Marmota monax","","Woodchuck","Mammals","9995","MONAX5","GCA_901343595.1","2,626,060,708","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Martes zibellina","","Sable","Mammals","36722","ASM1258336v1","GCA_012583365.1","2,420,676,913","Ensembl","FASTA/GTF/GFF3/TSV","FASTA","BAM"
"Mastacembelus armatus","","Zig-zag eel","Fish","205130","fMasArm1.2","GCA_900324485.2","591,951,587","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Mastacembelus armatus","","Zig-zag eel","Fish","205130","fMasArm1.1","GCA_900324485.1","593,065,986","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Megaderma lyra","","Indian false vampire","Mammals","9413","MegLyr_v1_BIUU","GCA_004026885.1","2,620,948,449","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Megalops cyprinoides","","Indo-Pacific tarpon","Fish","118141","fMegCyp1.pri","GCA_013368585.1","959,241,634","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Melanostoma mellinum","NEW","Flies","Arthropods","653684","idMelMell2.1_alternate_haplotype","GCA_914767615.1","773,109,603","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Melanostoma mellinum","NEW","Flies","Arthropods","653684","idMelMell2.1","GCA_914767635.1","731,024,304","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Meleagris gallopavo","","Turkey","Birds","9103","Turkey_5.1","GCA_000146605.4","1,115,474,681","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Melitaea cinxia","","Glanville fritillary","Lepidoptera","113334","ilMelCinx1.1","GCA_905220565.1","499,397,863","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Melitaea cinxia","","Glanville fritillary","Lepidoptera","113334","ilMelCinx1.1_alternate_haplotype","GCA_905220555.1","449,465,048","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Mellicta athalia","","Butterflies","Lepidoptera","113330","ilMelAtha1.1","GCA_905220545.1","609,549,632","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Mellicta athalia","","Butterflies","Lepidoptera","113330","ilMelAtha1.1_alternate_haplotype","GCA_905220535.1","590,748,717","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Melopsittacus undulatus","","Budgerigar","Birds","13146","bMelUnd1.mat.Z","GCA_012275295.1","1,171,617,451","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Meriones unguiculatus","","Mongolian gerbil","Mammals","10047","MerUng_v1_BIUU","GCA_004026785.1","2,637,041,433","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Mesocricetus auratus","","Golden hamster","Mammals","10036","BCM_Maur_2.0","GCA_017639785.1","2,457,062,007","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
"Metaseiulus occidentalis","","Western predatory mite","Arthropods","34638","Mocc_1.0","GCA_000255335.1","151,724,311","NCBI","FASTA/GTF/GFF3/TSV","FASTA",""
"Mirounga leonina","","Southern elephant seal","Mammals","9715","KU_Mleo_1.0","GCA_011800145.1","2,417,320,305","Ensembl","FASTA/GTF/GFF3/TSV","FASTA",""
